dataset_index,dataset_id,rollout,valid,error_type,step_count,mean_structural_to_others,mean_semantic_to_others,mean_combined_to_others,nearest_rollout,nearest_structural,nearest_semantic,nearest_combined,novelty_one_minus_nearest_combined
0,hle-673818e39b3842b34824240d,0,True,,3,0.5999719500541687,0.5669408440589905,0.5834563970565796,19,0.8999999761581421,0.7141029834747314,0.8070514798164368,0.19294852018356323
0,hle-673818e39b3842b34824240d,1,True,,4,0.6817480325698853,0.5977478623390198,0.6397479176521301,39,0.925000011920929,0.738415539264679,0.831707775592804,0.16829222440719604
0,hle-673818e39b3842b34824240d,2,True,,3,0.6003398895263672,0.593670666217804,0.597005307674408,26,1.0,0.7495118975639343,0.8747559785842896,0.12524402141571045
0,hle-673818e39b3842b34824240d,3,True,,3,0.6339689493179321,0.5612214207649231,0.5975951552391052,56,1.0,0.7439836859703064,0.8719918727874756,0.12800812721252441
0,hle-673818e39b3842b34824240d,4,True,,3,0.6404557824134827,0.5557973980903625,0.5981266498565674,6,0.8999999761581421,0.7128140926361084,0.8064070343971252,0.19359296560287476
0,hle-673818e39b3842b34824240d,5,True,,3,0.6405819058418274,0.5074799656867981,0.5740308165550232,25,0.8999999761581421,0.6624969244003296,0.7812484502792358,0.21875154972076416
0,hle-673818e39b3842b34824240d,6,True,,3,0.6651332378387451,0.5710762739181519,0.6181048154830933,19,0.8999999761581421,0.7465136051177979,0.82325679063797,0.17674320936203003
0,hle-673818e39b3842b34824240d,7,True,,4,0.7199739217758179,0.6038199067115784,0.661896824836731,49,1.0,0.7714924216270447,0.8857462406158447,0.11425375938415527
0,hle-673818e39b3842b34824240d,8,True,,4,0.7044900059700012,0.5939139127731323,0.6492019295692444,40,1.0,0.743468165397644,0.871734082698822,0.12826591730117798
0,hle-673818e39b3842b34824240d,9,False,ConductorParseError,,,,,,,,,
0,hle-673818e39b3842b34824240d,10,True,,4,0.70255446434021,0.590353786945343,0.6464540362358093,60,1.0,0.7613763809204102,0.8806881904602051,0.11931180953979492
0,hle-673818e39b3842b34824240d,11,True,,3,0.6050173044204712,0.578745424747467,0.5918813347816467,12,0.8911111354827881,0.7189393043518066,0.8050252199172974,0.19497478008270264
0,hle-673818e39b3842b34824240d,12,True,,3,0.630617082118988,0.566482424736023,0.5985497832298279,11,0.8911111354827881,0.7189393043518066,0.8050252199172974,0.19497478008270264
0,hle-673818e39b3842b34824240d,13,True,,4,0.7199738621711731,0.5995104908943176,0.6597421765327454,30,1.0,0.7538203001022339,0.8769101500511169,0.12308984994888306
0,hle-673818e39b3842b34824240d,14,True,,3,0.630617082118988,0.5066121816635132,0.5686147212982178,55,1.0,0.649598240852356,0.824799120426178,0.17520087957382202
